shelter name,city,state,address,website,phone
Dale County Rescue Mission,Abbeville,alabama,"182 Martin St, Ozark, AL 36360",,
Momma Tina's Mission House - TOPS,Abbeville,alabama,"605 N. Alice Street, Dothan, AL 36303",,
Dothan Rescue Mission - Men's Lodge,Abbeville,alabama,"216 East Crawford Street, Dothan, AL 36301",http://dothanrescuemission.com/,
Dothan Rescue Mission - Women's Lodge,Abbeville,alabama,"209 East Washington Street, Dothan, AL 36301",http://dothanrescuemission.com/,
,Alabaster,alabama,",",,
Albertville Downtown Rescue Mission,Albertville,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
The Salvation Army Gadsden Homeless Shelter And Services,Albertville,alabama,"114 North 11th Street, Gadsden, AL 35901",,256-546-4673
Thirteenth Place Youth Shelter,Albertville,alabama,"405 South 12th Street, Gadsden, AL 35901",http://www.thirteenthplace.com/,256-547-8971
The Love Center,Albertville,alabama,"915 S 12th Street, Gadsden, AL 35901",,
A House of Refuge,Albertville,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Big Oak Ranch Boys,Albertville,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
,Alexander City,alabama,",",,
,Andalusia,alabama,",",,
Salvation Army Domestic Violence and Womens Shelter,Anniston,alabama,"PO Box 218, Anniston, AL 36202",,(256) 236-5644
Salvation Army Anniston  Emergency Services,Anniston,alabama,"420 Noble Street, Anniston, AL 36201",,236-5644
Alabama Baptist Children's Homes and Family Ministries,Anniston,alabama,"1210 Friendship Rd, Oxford, AL 36203",,
Big Oak Ranch Boys,Anniston,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
Presbyterian Home for Children,Anniston,alabama,"905 Ashland Highway, Talladega, AL 35160",,
The Love Center,Anniston,alabama,"915 S 12th Street, Gadsden, AL 35901",,
Thirteenth Place Youth Shelter,Anniston,alabama,"405 South 12th Street, Gadsden, AL 35901",http://www.thirteenthplace.com/,256-547-8971
The Salvation Army Gadsden Homeless Shelter And Services,Anniston,alabama,"114 North 11th Street, Gadsden, AL 35901",,256-546-4673
Albertville Downtown Rescue Mission,Arab,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
A House of Refuge,Arab,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Downtown Rescue Mission,Arab,alabama,"1400 Evangel Drive, Huntsville, AL 35816",https://www.downtownrescuemission.org/,256-536-2441
The Salvation Army Huntsville Emergency Shelter and Lodge,Arab,alabama,"305 Seminole, Huntsville, AL 35805",http://salvationarmyalm.org/huntsville/,256-536-8876
Tennessee Valley Outreach Mission,Athens,alabama,"2117 Old Moulton Heights Road, Decatur, AL 35602",http://www.tennesseevalleyoutreach.org/,
Salvation Army Center of Hope Decatur,Athens,alabama,"114 14th St SW, Decatur, AL 35601",http://salvationarmyalm.org/decatur/center-of-hope/,256-353-2822
New Futures Family Lodge Huntsville,Athens,alabama,"5429 Oakwood Rd, Huntsville, AL 35806",,
The Studio Shelter and Services,Athens,alabama,"1001 Oakwood Avenue, Huntsville, AL 35801",https://hmcpl.org/community/studio-shelter-and-services,256-489-8088
The Salvation Army Huntsville Emergency Shelter and Lodge,Athens,alabama,"305 Seminole, Huntsville, AL 35805",http://salvationarmyalm.org/huntsville/,256-536-8876
